Grant Name	Sponsor	Link	Deadline	Relevance	EQORE Fit	Ease of Use	Match %	Award max	RFP	Innovation/execution	Latest preparation start date	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes	Award min	Funding Instrument	Categories	Eligibility	Synopsis snippet
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334)	National Institutes of Health	https://www.grants.gov/search-results-detail/359970		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/359970					Open 07/17/2025 → Close 			Status: forecasted					
FY 2023 Disaster Supplemental (EDA-DISASTER-2023)	Economic Development Administration	https://www.grants.gov/search-results-detail/347414		0.5	3.0	3.0	20.0		https://www.grants.gov/search-results-detail/347414					Open 04/24/2023 → Close 			Status: posted					
Native American Affairs: Emergency Drought Relief for Tribes Inflation Reduction Act of 2022, Section 80004 (R25AS00275)	Bureau of Reclamation	https://www.grants.gov/search-results-detail/359950	10/14/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/359950					Open 07/08/2025 → Close 10/14/2025			Status: posted					
U.S. Mission to the United Nations-Geneva, Small Grants Program (GVA-SGP-2023-002)	U.S. Mission to the United Nations	https://www.grants.gov/search-results-detail/344437		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/344437					Open 11/10/2022 → Close 			Status: posted					
Public Diplomacy Section Praia: Small Grants Program (AFPRA-25-01)	U.S. Mission to Cape Verde	https://www.grants.gov/search-results-detail/359747		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/359747					Open 08/27/2025 → Close 			Status: posted					
Make Every Drop Count (PAS-JOR-FY25-005)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360245	09/06/2025	0.5	3.0	1.0			https://www.grants.gov/search-results-detail/360245					Open 08/06/2025 → Close 09/06/2025			Status: posted					
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU) (G25AS00348)	Geological Survey	https://www.grants.gov/search-results-detail/360346	09/22/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360346					Open 08/22/2025 → Close 09/22/2025			Status: posted					
FY 2026 International Visitor Leadership Program Collaborative Services (DFOP0017389)	Bureau Of Educational and Cultural Affairs	https://www.grants.gov/search-results-detail/359958	09/08/2025	0.5	2.0	2.0			https://www.grants.gov/search-results-detail/359958					Open 07/09/2025 → Close 09/08/2025			Status: posted					
Medical Scientist Training Program (MSTP) (T32) (PAR-24-128)	National Institutes of Health	https://www.grants.gov/search-results-detail/352810	01/25/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/352810					Open 03/04/2024 → Close 01/25/2027			Status: posted					
Findable Accessible Interoperable Reusable Open Science (25-533)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358036	04/08/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/358036					Open 01/07/2025 → Close 04/08/2026			Status: posted					
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC)  (NNH18ZHA002N-MUSIC)	National Aeronautics and Space Administration	https://www.grants.gov/search-results-detail/300997		2.0	3.0	3.0			https://www.grants.gov/search-results-detail/300997					Open 02/22/2018 → Close 			Status: posted					
Small Grants Program (GVA-SGP-2020-001)	U.S. Mission to the United Nations	https://www.grants.gov/search-results-detail/326733		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/326733					Open 05/05/2020 → Close 			Status: posted					
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846)	Department of Commerce	https://www.grants.gov/search-results-detail/332052		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332052					Open 03/15/2021 → Close 			Status: posted					
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850)	Department of Commerce	https://www.grants.gov/search-results-detail/332126		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332126					Open 03/15/2021 → Close 			Status: posted					
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848)	Department of Commerce	https://www.grants.gov/search-results-detail/332137		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332137					Open 03/15/2021 → Close 			Status: posted					
Chicago FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-CHI-TA-CRO-2021-2006849)	Department of Commerce	https://www.grants.gov/search-results-detail/332125		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332125					Open 03/15/2021 → Close 			Status: posted					
Philadelphia FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-PHI-TA-PRO-2021-2006851)	Department of Commerce	https://www.grants.gov/search-results-detail/332138		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332138					Open 03/15/2021 → Close 			Status: posted					
Modern Equipment for Shared-use Biomedical Research Facilities: Advancing Research-Related Operations (S15 Clinical Trial Not Allowed) (PAR-24-259)	National Institutes of Health	https://www.grants.gov/search-results-detail/355855	09/25/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/355855					Open 08/02/2024 → Close 09/25/2026			Status: posted					
Seattle FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-SEA-TA-SRO-2021-2006853)	Department of Commerce	https://www.grants.gov/search-results-detail/332127		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/332127					Open 03/15/2021 → Close 			Status: posted					
Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (NOT-AT-25-006)	National Institutes of Health	https://www.grants.gov/search-results-detail/359155		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/359155					Open 05/28/2025 → Close 			Status: forecasted					
Maximizing Investigators' Research Award (FOR-GM-27-002)	National Institutes of Health	https://www.grants.gov/search-results-detail/359862		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/359862					Open 06/30/2025 → Close 			Status: forecasted					
Support for a National Electronic Interstate Records Exchange System (HHS-2025-ACF-ACYF-CO-0079)	Administration for Children and Families - ACYF/CB	https://www.grants.gov/search-results-detail/356022		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/356022					Open 08/13/2024 → Close 			Status: forecasted					
Environmental Engineering (PD-20-1440)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/320490		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/320490					Open 09/11/2019 → Close 			Status: posted					
Enhancement and Management of Established Biomedical Data Repositories and Knowledgebases (U24 Clinical Trial Not Allowed) (PAR-23-237)	National Institutes of Health	https://www.grants.gov/search-results-detail/350051	01/25/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/350051					Open 08/30/2023 → Close 01/25/2026			Status: posted					
Maximizing Investigators Research Award (MIRA) for Early Stage Investigators (ESI) (R35 - Clinical Trial Optional) (PAR-23-145)	National Institutes of Health	https://www.grants.gov/search-results-detail/347720	02/03/2026	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/347720					Open 04/24/2023 → Close 02/03/2026			Status: posted					
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136)	National Institutes of Health	https://www.grants.gov/search-results-detail/357034	01/07/2028	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/357034					Open 11/07/2024 → Close 01/07/2028			Status: posted					
Examining the Impact of Artificial Intelligence (AI) on Healthcare Safety (R18) (PA-24-261)	Agency for Health Care Research and Quality	https://www.grants.gov/search-results-detail/355419	05/25/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/355419					Open 07/16/2024 → Close 05/25/2027			Status: posted					
USDA/USDOI Joint Fire Science Program (JFSP) (L20AS00080)	Bureau of Land Management	https://www.grants.gov/search-results-detail/325472		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/325472					Open 03/16/2020 → Close 			Status: forecasted					
Chesapeake Center for Collaborative Computing (EPA-R3-CBP-25-01)	Environmental Protection Agency	https://www.grants.gov/search-results-detail/360119	09/10/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/360119					Open 07/23/2025 → Close 09/10/2025			Status: posted					
FY 2021 - 2023 Economic Development RNTA (EDA-HDQ-RNTA-2021)	Department of Commerce	https://www.grants.gov/search-results-detail/334079		0.5	4.0	3.0	0.0		https://www.grants.gov/search-results-detail/334079					Open 06/09/2021 → Close 			Status: posted					
Infrastructure Systems and People (PD-25-342Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358397		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/358397					Open 01/25/2025 → Close 			Status: posted					
HEAL: Translating Addiction Epidemiology, Prevention, Treatment, and Recovery Research into Practice (R61/R33 - Clinical Trial Optional) (FOR-DA-26-001)	National Institutes of Health	https://www.grants.gov/search-results-detail/358819		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/358819					Open 05/05/2025 → Close 			Status: forecasted					
Science of Learning and Augmented Intelligence (SL) (PD-19-127Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/320753	02/11/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/320753					Open 09/19/2019 → Close 02/11/2026			Status: posted					
FY 2025 Preschool Development Grant Birth Through Five (PDG B-5) Systems-Building Grant (HHS-2025-ACF-ECD-TP-0016)	Administration for Children and Families	https://www.grants.gov/search-results-detail/355578		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/355578					Open 07/22/2024 → Close 			Status: forecasted					
NOI to Issue Infrastructure Investment and Jobs Act (IIJA) Funding Opportunity Announcement DE-FOA-0003585 &ldquo;Battery Materials Processing and Battery Manufacturing and Recycling Grant Program&quot; (DE-FOA-0003584)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/360288	10/13/2025	2.5	4.0	3.0			https://www.grants.gov/search-results-detail/360288					Open 08/13/2025 → Close 10/13/2025			Status: posted					
Notice of Intent (NOI) related to &quot;HARMONY: Human-Centric Analytics for Resilient &amp; Modernized Power sYstems&rdquo; (DE-FOA-0003445)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/356444	12/31/2025	1.5	4.0	5.0			https://www.grants.gov/search-results-detail/356444					Open 09/17/2024 → Close 12/31/2025			Status: posted					
Pacific Regional Partnership Intermediary Agreement (FA9453-23-R-001)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/346937		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/346937					Open 03/17/2023 → Close 			Status: forecasted					
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025)	U.S. Mission to Tunisia	https://www.grants.gov/search-results-detail/359120		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/359120					Open 06/02/2025 → Close 			Status: forecasted					
Particulate and Multiphase Processes (PD-23-1415)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347325		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347325					Open 04/05/2023 → Close 			Status: posted					
Environmental Sustainability (PD-23-7643)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/347328		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/347328					Open 04/05/2023 → Close 			Status: posted					
RESTORE Act Centers of Excellence Research Grants Program (GR-RCE-25-001)	U.S. Dept. of Treasury RESTORE Act Program	https://www.grants.gov/search-results-detail/356559	10/31/2025	1.0	3.0	4.0			https://www.grants.gov/search-results-detail/356559					Open 09/26/2024 → Close 10/31/2025			Status: posted					
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591)	Advanced Research Projects Agency Energy 	https://www.grants.gov/search-results-detail/360356	09/24/2025	3.0	4.0	2.0			https://www.grants.gov/search-results-detail/360356					Open 08/25/2025 → Close 09/24/2025			Status: posted					
Long Range Broad Agency Announcement (BAA) for NSWC Crane (N0016424SNB35)	NSWC CRANE - N00164	https://www.grants.gov/search-results-detail/352238		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/352238					Open 02/08/2024 → Close 			Status: posted					
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/325932	03/31/2027	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/325932					Open 04/01/2020 → Close 03/31/2027			Status: posted					
RFI - DOE R (DE-SOL-0008246)	Idaho Field Office	https://www.grants.gov/search-results-detail/280932		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/280932					Open 01/14/2016 → Close 			Status: posted					
RFI - DOE Infrastructure Work Scope Development (DE-SOL-0008318)	Idaho Field Office	https://www.grants.gov/search-results-detail/280970		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/280970					Open 01/14/2016 → Close 			Status: posted					
Climate Hackathon in Northern Japan (SAPPORO-PAS-FY22-01-02)	U.S. Mission to Japan	https://www.grants.gov/search-results-detail/338143		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/338143					Open 02/18/2022 → Close 			Status: forecasted					
Democracy Commission Program Round 2 FY2023 (TIRDEMCOMMR2FY23)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/347569		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/347569					Open 04/18/2023 → Close 			Status: forecasted					
Embassy Belgrade PAS - University Partnership (SRB10020FO006)	U.S. Mission to Serbia	https://www.grants.gov/search-results-detail/327658		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/327658					Open 06/12/2020 → Close 			Status: forecasted					
Alumni Engagement Innovation Fund Program FY 2025 (SMK800-25-PAS001)	U.S. Mission to North Macedonia	https://www.grants.gov/search-results-detail/358681		1.0	3.0	4.0			https://www.grants.gov/search-results-detail/358681					Open 04/16/2025 → Close 			Status: forecasted					
CHEERS Open Period 2 - All Technical Areas (FA238424S2335)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/360262	09/30/2027	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/360262					Open 08/07/2025 → Close 09/30/2027			Status: posted					
Developing Country Collaborations in Plant Genome Research (DCC-PGR)  (04-563)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/45657		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/45657					Open 03/22/2004 → Close 			Status: posted					
Operations Engineering (PD-19-006Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/306167		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/306167					Open 06/12/2018 → Close 			Status: posted					
Engineering for Civil Infrastructure (PD-19-073Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/306169		1.0	3.0	3.0			https://www.grants.gov/search-results-detail/306169					Open 06/12/2018 → Close 			Status: posted					
Solar, Heliospheric, and INterplanetary Environment (22-570)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/337985	10/07/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/337985					Open 02/11/2022 → Close 10/07/2025			Status: posted					
Public Affairs Section Notice of Funding Opportunity 2020 (PAS-SCB-600-20-PAS-0001)	U.S. Mission to Cambodia	https://www.grants.gov/search-results-detail/322667		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/322667					Open 11/23/2019 → Close 			Status: forecasted					
MISSION ITALY ANNUAL PROGRAM STATEMENT 2023 (2301)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/345914		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/345914					Open 02/09/2023 → Close 			Status: forecasted					
U.S. Embassy Phnom Penh &ndash; PAS Annual Program Statement (PAS-CB600-23-0002)	U.S. Mission to Cambodia	https://www.grants.gov/search-results-detail/348863		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/348863					Open 06/22/2023 → Close 			Status: forecasted					
Plasma Physics (PD-23-1242)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/350018	11/17/2025	0.5	3.0	4.0			https://www.grants.gov/search-results-detail/350018					Open 08/29/2023 → Close 11/17/2025			Status: posted					
U.S. Embassy Luanda Public Diplomacy Section Request for a Full Proposal Application (DOS-PAS-ANG-FY25-01)	U.S. Mission to Angola	https://www.grants.gov/search-results-detail/358783		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/358783					Open 04/30/2025 → Close 			Status: forecasted					
Division of Molecular and Cellular Biosciences Core Programs (24-539)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/352338		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/352338					Open 02/14/2024 → Close 			Status: posted					
Centers for Chemical Innovation (23-575)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/359954	11/17/2025	1.0	3.0	4.0			https://www.grants.gov/search-results-detail/359954					Open 07/08/2025 → Close 11/17/2025			Status: posted					
National Science Foundation Translation to Practice (25-540)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/359966	09/16/2025	0.5	3.0	2.0			https://www.grants.gov/search-results-detail/359966					Open 07/09/2025 → Close 09/16/2025			Status: posted					
WINDOWS ON THE UNIVERSE: THE ERA OF MULTI-MESSENGER ASTROPHYSICS (PD-23-5115)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/349929	10/15/2025	0.5	3.0	3.0			https://www.grants.gov/search-results-detail/349929					Open 08/19/2023 → Close 10/15/2025			Status: posted					
NHLBI Outstanding Investigator Award (OIA) (R35 Clinical Trial Optional) (RFA-HL-26-002)	National Institutes of Health	https://www.grants.gov/search-results-detail/353821	04/28/2027	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/353821					Open 04/26/2024 → Close 04/28/2027			Status: posted					
Atmosphere Cluster (PD-24-7790)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/356538		0.5	3.0	3.0			https://www.grants.gov/search-results-detail/356538					Open 09/26/2024 → Close 			Status: posted					
ERDC Broad Agency Announcement (W912HZ-25-BAA-01)	Engineer Research and Development Center	https://www.grants.gov/search-results-detail/357970	12/31/2025	1.0	3.0	5.0			https://www.grants.gov/search-results-detail/357970					Open 01/02/2025 → Close 12/31/2025			Status: posted					
Sustaining Cultural Heritage Collections (20260109-PF)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/358392		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/358392					Open 01/24/2025 → Close 			Status: forecasted					
U.S. Mission Italy PDS Annual Program Statement (PDSITALYFY24)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/351231		0.5	3.0	4.0			https://www.grants.gov/search-results-detail/351231					Open 11/30/2023 → Close 			Status: forecasted					
Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (24-562)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/359061	08/07/2026	1.5	3.0	5.0			https://www.grants.gov/search-results-detail/359061					Open 05/21/2025 → Close 08/07/2026			Status: posted					
Correctness for Scientific Computing Systems (24-571)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/354144	08/11/2026	0.5	3.0	5.0			https://www.grants.gov/search-results-detail/354144					Open 05/10/2024 → Close 08/11/2026			Status: posted					
